Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Product ID,Sales ID,Sales,Quantity,Discount,Profit
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Consumer,FUR-BO-10001798,16,261.96,2,0,41.9136
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Consumer,FUR-CH-10000454,5,731.94,3,0,219.582
CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Corporate,OFF-LA-10000240,1,14.62,2,0,6.8714
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Consumer,FUR-TA-10000577,18,957.5775,5,0.45,-383.031
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Consumer,OFF-ST-10000760,11,22.368,2,0.2,2.5164
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,FUR-FU-10001487,11,48.86,7,0,14.1694
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,OFF-AR-10002833,4,7.28,4,0,1.9656
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,TEC-PH-10002275,5,907.152,6,0.2,90.7152
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,OFF-BI-10003910,17,18.504,3,0.2,5.7825
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,OFF-AP-10002892,19,114.9,5,0,34.47
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,FUR-TA-10001539,1,1706.184,9,0.2,85.3092
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,TEC-PH-10002033,12,911.424,4,0.2,68.3568
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Consumer,OFF-PA-10002365,16,15.552,3,0.2,5.4432
CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Consumer,OFF-BI-10003656,10,407.976,3,0.2,132.5922
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,OFF-AP-10002311,12,68.81,5,0.8,-123.858
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,OFF-BI-10000756,17,2.544,3,0.8,-3.816
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Consumer,OFF-ST-10004186,13,665.88,6,0,13.3176
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Consumer,OFF-ST-10000107,20,55.5,2,0,9.99
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,OFF-AR-10003056,2,8.56,2,0,2.4824
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,TEC-PH-10001949,9,213.48,3,0.2,16.011
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,OFF-BI-10002215,4,22.72,4,0.2,7.384
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Corporate,OFF-AR-10000246,5,19.46,7,0,5.0596
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Corporate,OFF-AP-10001492,6,60.34,7,0,15.6884
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Consumer,FUR-CH-10002774,5,71.372,2,0.3,-1.0196
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Consumer,FUR-TA-10000577,17,1044.63,3,0,240.2649
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,OFF-BI-10001634,9,11.648,2,0.2,4.2224
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,TEC-AC-10003027,5,90.57,3,0,11.7741
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,FUR-BO-10004834,18,3083.43,7,0.5,-1665.0522
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-BI-10000474,13,9.618,2,0.7,-7.0532
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,FUR-FU-10004848,11,124.2,3,0.2,15.525
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-EN-10001509,19,3.264,2,0.2,1.1016
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-AR-10004042,19,86.304,6,0.2,9.7092
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-BI-10001525,6,6.858,6,0.7,-5.715
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,OFF-AR-10001683,10,15.76,2,0.2,3.546
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Home Office,OFF-PA-10000249,19,29.472,3,0.2,9.9468
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Corporate,TEC-PH-10004977,17,1097.544,7,0.2,123.4737
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Corporate,FUR-FU-10003664,10,190.92,5,0.6,-147.963
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,OFF-EN-10002986,14,113.328,9,0.2,35.415
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,FUR-BO-10002545,7,532.3992,3,0.32,-46.9764
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,FUR-CH-10004218,2,212.058,3,0.3,-15.147
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,TEC-PH-10000486,3,371.168,4,0.2,41.7564
CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Corporate,TEC-PH-10004093,4,147.168,4,0.2,16.5564
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Corporate,OFF-ST-10003479,5,77.88,2,0,3.894
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Corporate,OFF-ST-10003282,5,95.616,2,0.2,9.5616
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Corporate,TEC-AC-10000171,12,45.98,2,0,19.7714
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Corporate,OFF-BI-10003291,12,17.46,2,0,8.2062
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Consumer,OFF-ST-10001713,19,211.96,4,0,8.4784
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,TEC-AC-10002167,8,45,3,0,4.95
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,TEC-PH-10003988,11,21.8,2,0,6.104
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,OFF-BI-10004410,19,38.22,6,0,17.9634
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,OFF-LA-10002762,8,75.18,6,0,35.3346
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,FUR-FU-10001706,7,6.16,2,0,2.9568
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,FUR-CH-10003061,15,89.99,1,0,17.0981
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Corporate,OFF-FA-10000304,14,15.26,7,0,6.2566
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Corporate,TEC-PH-10002447,14,1029.95,5,0,298.6855
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-ST-10000604,2,208.56,6,0,52.14
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-PA-10001569,6,32.4,5,0,15.552
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,FUR-CH-10003968,14,319.41,5,0.1,7.098
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-PA-10000587,11,14.56,2,0,6.9888
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,TEC-AC-10002167,6,30,2,0,3.3
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-BI-10001460,12,48.48,4,0.2,16.362
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,OFF-AR-10001868,11,1.68,1,0,0.84
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,TEC-AC-10004633,20,13.98,2,0,6.1512
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,OFF-BI-10001078,13,25.824,6,0.2,9.3612
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,OFF-PA-10003892,14,146.73,3,0,68.9631
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,FUR-FU-10000397,3,79.76,4,0,22.3328
US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Home Office,FUR-CH-10001146,20,213.115,5,0.3,-15.2225
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Corporate,OFF-AR-10002671,3,1113.024,8,0.2,111.3024
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Corporate,TEC-PH-10002726,15,167.968,4,0.2,62.988
CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Consumer,OFF-PA-10000482,19,75.88,2,0,35.6636
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Consumer,OFF-BI-10004654,8,4.616,1,0.2,1.731
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Consumer,OFF-PA-10004675,17,19.05,3,0,8.763
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,FUR-CH-10000513,7,831.936,8,0.2,-114.3912
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,FUR-FU-10003708,4,97.04,2,0.2,1.213
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,OFF-ST-10004123,18,72.784,1,0.2,-18.196
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,OFF-BI-10004182,18,1.248,3,0.8,-1.9344
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,FUR-FU-10000260,13,9.708,3,0.6,-5.8248
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,OFF-ST-10000615,12,27.24,3,0.2,2.724
US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,Consumer,FUR-FU-10003194,15,19.3,5,0.6,-14.475
CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Corporate,OFF-AP-10002118,16,208.16,1,0,56.2032
CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Corporate,OFF-BI-10002309,16,16.74,3,0,8.0352
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Consumer,OFF-AR-10002053,18,14.9,5,0,4.172
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Consumer,OFF-ST-10002370,7,21.39,1,0,6.2031
CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,Corporate,OFF-EN-10000927,6,200.984,7,0.2,62.8075
US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Home Office,OFF-ST-10003656,2,230.376,3,0.2,-48.9549
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Consumer,FUR-CH-10000863,14,301.96,2,0,33.2156
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Consumer,TEC-AC-10001998,16,19.99,1,0,6.7966
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Consumer,OFF-LA-10000134,18,6.16,2,0,2.9568
CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,Home Office,OFF-ST-10003442,7,158.368,7,0.2,13.8572
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,OFF-AR-10004930,9,20.1,3,0,6.633
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,TEC-PH-10004093,14,73.584,2,0.2,8.2782
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,OFF-PA-10000304,20,6.48,1,0,3.1104
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,OFF-PA-10003177,16,12.96,2,0,6.2208
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,FUR-FU-10003799,4,53.34,3,0,16.5354
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,OFF-BI-10002852,1,32.96,2,0,16.1504
